vitrine5 <-  atendimentonr qualidade_produto5 (50.0 , 0.6 )

vitrine5 <-  provador localizacao1 (100.0 , 0.3 )

vitrine5 <-  atendimento1 localizacao4 (100.0 , 0.3 )

vitrine5 <-  variedade_cores6 formas_pagamento4 (100.0 , 0.3 )

vitrine5 <-  formas_pagamento5 divulgacao5 (50.0 , 1.1 )

vitrine5 <-  variedade_cores3 divulgacao4 (100.0 , 0.3 )

vitrine5 <-  localizacao5 aparencia_loja2 (100.0 , 0.3 )

vitrine5 <-  provador1 formas_pagamento3 (50.0 , 0.6 )

vitrine5 <-  variedade_tamanhos1 provador4 (50.0 , 0.6 )

vitrine5 <-  aparencia_loja1 provador5 (50.0 , 0.6 )

vitrine5 <-  Vendedor3 atendimento5 (63.6 , 3.1 )

vitrine5 <-  variedade_tamanhos5 aparencia_loja4 (51.7 , 8.2 )

vitrine5 <-  divulgacao1 Vizualizacao_externa5 (51.2 , 12.2 )

vitrine5 <-  manha NaoRetornou (56.0 , 7.1 )

vitrine5 <-  localizacao6 divulgacao3 qualidade_produto3 (100.0 , 0.3 )

vitrine2 <-  variedade_cores1 (60.0 , 1.4 )

vitrine2 <-  variedade_cores2 (60.0 , 1.4 )

vitrine2 <-  Vizualizacao_externa1 divulgacao5 (100.0 , 0.3 )

vitrine2 <-  atendimento1 Vizualizacao_externa2 (50.0 , 0.6 )

vitrine2 <-  variedade_cores6 localizacao6 (66.7 , 0.8 )

vitrine2 <-  formas_pagamento5 aparencia_loja1 (50.0 , 0.6 )

vitrine2 <-  variedade_cores3 divulgacao3 (50.0 , 0.6 )

vitrine2 <-  localizacao5 atendimento6 (66.7 , 0.8 )

vitrine2 <-  provador1 noite (50.0 , 1.1 )

vitrine2 <-  atendimento2 variedade_tamanhos1 (66.7 , 0.8 )

vitrine2 <-  formas_pagamento3 localizacao1 (100.0 , 0.3 )

